curve,tenor,pay_freq,daycount,par_coupon_%
A,24M,Quarterly,30/360 Bond,4.476068818416743
A,24M,Quarterly,30E/360,4.476068818416743
A,24M,Quarterly,Act/Act ICMA,4.476068818416743
A,24M,Semiann,Act/360,4.433602374009018
A,24M,Semiann,Act/365F,4.495180184759143
A,24M,Semiann,Act/Act ISDA,4.498120407758893
A,24M,Semiann,Act/Act AFB,4.498152917896079
A,24M,Semiann,30/360 Bond,4.501266746830323
A,24M,Semiann,30E/360,4.501266746830323
A,24M,Semiann,Act/Act ICMA,4.501266746830323
A,24M,Annual,Act/360,4.48353963714712
A,24M,Annual,Act/365F,4.5458110209963865
A,24M,Annual,Act/Act ISDA,4.548817872739429
A,24M,Annual,Act/Act AFB,4.55189528765505
A,24M,Annual,30/360 Bond,4.55189528765505
A,24M,Annual,30E/360,4.55189528765505
A,24M,Annual,Act/Act ICMA,4.55189528765505
BBB,1M,Monthly,Act/360,4.213394674386366
BBB,1M,Monthly,Act/365F,4.271914044863955
BBB,1M,Monthly,Act/Act ISDA,4.271914044863955
BBB,1M,Monthly,Act/Act AFB,4.271914044863955
BBB,1M,Monthly,30/360 Bond,4.213394674386366
BBB,1M,Monthly,30E/360,4.213394674386366
BBB,1M,Monthly,Act/Act ICMA,4.213394674386366
BBB,3M,Monthly,Act/360,4.355985530173661
BBB,3M,Monthly,Act/365F,4.416485329203851
BBB,3M,Monthly,Act/Act ISDA,4.416485329203849
BBB,3M,Monthly,Act/Act AFB,4.416485329203851
BBB,3M,Monthly,30/360 Bond,4.452780164657208
BBB,3M,Monthly,30E/360,4.452780164657208
BBB,3M,Monthly,Act/Act ICMA,4.452780164657208
BBB,3M,Quarterly,Act/360,4.372498219801449
BBB,3M,Quarterly,Act/365F,4.4332273617431355
BBB,3M,Quarterly,Act/Act ISDA,4.433227361743135
BBB,3M,Quarterly,Act/Act AFB,4.4332273617431355
BBB,3M,Quarterly,30/360 Bond,4.469664846908148
BBB,3M,Quarterly,30E/360,4.469664846908148
BBB,3M,Quarterly,Act/Act ICMA,4.469664846908148
BBB,6M,Monthly,Act/360,4.461063999833797
BBB,6M,Monthly,Act/365F,4.523023222053712
BBB,6M,Monthly,Act/Act ISDA,4.52302322205371
BBB,6M,Monthly,Act/Act AFB,4.523023222053712
BBB,6M,Monthly,30/360 Bond,4.535553416220329
BBB,6M,Monthly,30E/360,4.535553416220329
BBB,6M,Monthly,Act/Act ICMA,4.535553416220329
BBB,6M,Quarterly,Act/360,4.478198877280691
BBB,6M,Quarterly,Act/365F,4.54039608390959
BBB,6M,Quarterly,Act/Act ISDA,4.54039608390959
BBB,6M,Quarterly,Act/Act AFB,4.54039608390959
BBB,6M,Quarterly,30/360 Bond,4.552978906389036
BBB,6M,Quarterly,30E/360,4.552978906389036
BBB,6M,Quarterly,Act/Act ICMA,4.552978906389036
BBB,6M,Semiann,Act/360,4.504298934570719
BBB,6M,Semiann,Act/365F,4.566858641995312
BBB,6M,Semiann,Act/Act ISDA,4.566858641995312
BBB,6M,Semiann,Act/Act AFB,4.566858641995312
BBB,6M,Semiann,30/360 Bond,4.579370583480231
BBB,6M,Semiann,30E/360,4.579370583480231
BBB,6M,Semiann,Act/Act ICMA,4.579370583480231
BBB,12M,Monthly,Act/360,4.466001692519647
BBB,12M,Monthly,Act/365F,4.5280294938046435
BBB,12M,Monthly,Act/Act ISDA,4.528029493804643
BBB,12M,Monthly,Act/Act AFB,4.5280294938046435
BBB,12M,Monthly,30/360 Bond,4.5282453096951745
BBB,12M,Monthly,30E/360,4.5282453096951745
BBB,12M,Monthly,Act/Act ICMA,4.527902819038617
BBB,12M,Quarterly,Act/360,4.482960040400143
BBB,12M,Quarterly,Act/365F,4.545223374294589
BBB,12M,Quarterly,Act/Act ISDA,4.545223374294589
BBB,12M,Quarterly,Act/Act AFB,4.545223374294589
BBB,12M,Quarterly,30/360 Bond,4.54529782717159
BBB,12M,Quarterly,30E/360,4.54529782717159
BBB,12M,Quarterly,Act/Act ICMA,4.54529782717159
BBB,12M,Semiann,Act/360,4.50863936482277
BBB,12M,Semiann,Act/365F,4.571259356000863
BBB,12M,Semiann,Act/Act ISDA,4.571259356000864
BBB,12M,Semiann,Act/Act AFB,4.571259356000863
BBB,12M,Semiann,30/360 Bond,4.571400619746966
BBB,12M,Semiann,30E/360,4.571400619746966
BBB,12M,Semiann,Act/Act ICMA,4.571400619746966
BBB,12M,Annual,Act/360,4.560215390983161
BBB,12M,Annual,Act/365F,4.623551715857926
BBB,12M,Annual,Act/Act ISDA,4.623551715857926
BBB,12M,Annual,Act/Act AFB,4.623551715857926
BBB,12M,Annual,30/360 Bond,4.623551715857926
BBB,12M,Annual,30E/360,4.623551715857926
BBB,12M,Annual,Act/Act ICMA,4.623551715857926
BBB,24M,Monthly,Act/360,4.591305295164563
BBB,24M,Monthly,Act/365F,4.655073424264071
BBB,24M,Monthly,Act/Act ISDA,4.658114060484752
BBB,24M,Monthly,Act/Act AFB,4.655578209445788
BBB,24M,Monthly,30/360 Bond,4.661463377885106
BBB,24M,Monthly,30E/360,4.661463377885106
BBB,24M,Monthly,Act/Act ICMA,4.661179352442418
BBB,24M,Quarterly,Act/360,4.609218888061043
BBB,24M,Quarterly,Act/365F,4.67323581706189
BBB,24M,Quarterly,Act/Act ISDA,4.676288092052887
BBB,24M,Quarterly,Act/Act AFB,4.674779312615886
BBB,24M,Quarterly,30/360 Bond,4.67952692140105
BBB,24M,Quarterly,30E/360,4.67952692140105
BBB,24M,Quarterly,Act/Act ICMA,4.67952692140105
BBB,24M,Semiann,Act/360,4.636309539704396
BBB,24M,Semiann,Act/365F,4.700702727755845
BBB,24M,Semiann,Act/Act ISDA,4.70377263943522
BBB,24M,Semiann,Act/Act AFB,4.703806583509585
BBB,24M,Semiann,30/360 Bond,4.707064461037711
BBB,24M,Semiann,30E/360,4.707064461037711
BBB,24M,Semiann,Act/Act ICMA,4.707064461037711
BBB,24M,Annual,Act/360,4.690919946196678
BBB,24M,Annual,Act/365F,4.756071612116076
BBB,24M,Annual,Act/Act ISDA,4.759214293968285
BBB,24M,Annual,Act/Act AFB,4.762430722139104
BBB,24M,Annual,30/360 Bond,4.762430722139104
BBB,24M,Annual,30E/360,4.762430722139104
BBB,24M,Annual,Act/Act ICMA,4.762430722139104
BB,1M,Monthly,Act/360,4.660304131800564
BB,1M,Monthly,Act/365F,4.725030578075573
BB,1M,Monthly,Act/Act ISDA,4.725030578075573
BB,1M,Monthly,Act/Act AFB,4.725030578075573
BB,1M,Monthly,30/360 Bond,4.660304131800564
BB,1M,Monthly,30E/360,4.660304131800564
BB,1M,Monthly,Act/Act ICMA,4.660304131800564
BB,3M,Monthly,Act/360,4.802953063904613
BB,3M,Monthly,Act/365F,4.8696607453477325
BB,3M,Monthly,Act/Act ISDA,4.869660745347732
BB,3M,Monthly,Act/Act AFB,4.8696607453477325
BB,3M,Monthly,30/360 Bond,4.9096788036422865
BB,3M,Monthly,30E/360,4.9096788036422865
BB,3M,Monthly,Act/Act ICMA,4.9096788036422865
